,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,WUPSame,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,ndcg_cut_5,0.2735,0.4034,0.4207,0.5945,0.6618,0.439,0.4588,0.3948
,,,,ndcg_cut_10,0.2766,0.4138,0.4224,0.5868,0.6616,0.439,0.4578,0.3952
,,,,ndcg_cut_15,0.3021,0.4586,0.4466,0.6057,0.6673,0.4434,0.4417,0.3923
,,,,ndcg_cut_20,0.2877,0.431,0.4241,0.604,0.6635,0.4406,0.4583,0.3995
,,,,ndcg_cut_30,0.2751,0.4069,0.4276,0.5905,0.6623,0.4409,0.4647,0.3972
,,,,ndcg,0.275,0.4069,0.4241,0.593,0.6618,0.4394,0.4599,0.3946
,,,,P_5,0.2766,0.4138,0.4224,0.5868,0.6616,0.439,0.4578,0.3952
,,,,P_10,0.2898,0.4276,0.4293,0.6076,0.6652,0.4403,0.4564,0.3988
,,,,P_15,0.3025,0.4586,0.4466,0.6053,0.6674,0.4434,0.4418,0.3918
,,,,P_20,0.2951,0.431,0.431,0.6323,0.6665,0.4408,0.4547,0.4005
,,,,P_30,0.2705,0.4,0.4172,0.5892,0.661,0.4389,0.4601,0.396
,,,,map,0.2735,0.4034,0.4224,0.5945,0.6619,0.4392,0.4592,0.3951
,,,,recip_rank,0.2766,0.4138,0.4328,0.5647,0.6616,0.4389,0.4547,0.4001
,,,,map_cut_5,0.2766,0.4138,0.4224,0.5868,0.6616,0.439,0.4578,0.3952
,,,,map_cut_10,0.2919,0.4276,0.431,0.6215,0.6658,0.4401,0.4547,0.4021
,,,,map_cut_15,0.3015,0.4483,0.4466,0.6029,0.6682,0.4435,0.4522,0.4008
,,,,map_cut_20,0.2951,0.431,0.431,0.6323,0.6665,0.4408,0.4547,0.4005
,,,,map_cut_30,0.2735,0.4034,0.4224,0.5945,0.6619,0.4392,0.4592,0.3951
,,,,Rprec,0.3028,0.4517,0.4517,0.6065,0.669,0.4445,0.4528,0.4013
,,,,bpref,0.2936,0.4276,0.4379,0.6346,0.6671,0.4415,0.4544,0.4008
,,,,recall_5,0.2766,0.4138,0.4224,0.5868,0.6616,0.439,0.4578,0.3952
,,,,recall_10,0.2898,0.4276,0.4293,0.6076,0.6652,0.4403,0.4564,0.3988
,,,,recall_15,0.3025,0.4586,0.4466,0.6053,0.6674,0.4434,0.4418,0.3918
,,,,recall_20,0.2951,0.431,0.431,0.6323,0.6665,0.4408,0.4547,0.4005
,,,,recall_30,0.2761,0.4103,0.4276,0.6023,0.6624,0.441,0.464,0.3978
,,,,,,,,,,,,
,,,,,0.3028,0.4586,0.4517,0.6346,0.669,0.4445,0.4645,0.4021
,,,,,,,,,,,,
,,,,,UnWUPSame,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,ndcg_cut_5,0.2852,0.4414,0.4414,0.6063,0.6645,0.4423,0.4549,0.3978
,,,,ndcg_cut_10,0.2768,0.431,0.4448,0.5945,0.6633,0.4417,0.4553,0.399
,,,,ndcg_cut_15,0.2757,0.4276,0.4431,0.5974,0.6624,0.441,0.4558,0.3977
,,,,ndcg_cut_20,0.3046,0.469,0.4517,0.6016,0.6666,0.4436,0.4528,0.3947
,,,,ndcg_cut_30,0.2824,0.4345,0.4414,0.5944,0.6635,0.4409,0.4546,0.3953
,,,,ndcg,0.2816,0.4345,0.4397,0.6039,0.6635,0.4413,0.4551,0.396
,,,,P_5,0.2931,0.4517,0.4448,0.6049,0.6656,0.4426,0.4529,0.397
,,,,P_10,0.2842,0.4379,0.4448,0.5971,0.6637,0.4407,0.4539,0.394
,,,,P_15,0.3034,0.4517,0.4345,0.6582,0.6689,0.443,0.4442,0.39
,,,,P_20,0.3044,0.4621,0.4534,0.6116,0.6678,0.4443,0.4522,0.3978
,,,,P_30,0.2739,0.4241,0.4414,0.5974,0.662,0.4406,0.4557,0.3977
,,,,map,0.301,0.4621,0.45,0.6016,0.6662,0.4432,0.4521,0.3942
,,,,recip_rank,0.266,0.4172,0.4362,0.5656,0.6604,0.4394,0.4534,0.3948
,,,,map_cut_5,0.282,0.4345,0.4431,0.5965,0.6637,0.4406,0.4533,0.3954
,,,,map_cut_10,0.2842,0.4379,0.4448,0.5973,0.6638,0.4409,0.4542,0.3946
,,,,map_cut_15,0.3035,0.4655,0.4483,0.6045,0.6663,0.443,0.4504,0.3962
,,,,map_cut_20,0.3046,0.469,0.4517,0.6016,0.6666,0.4436,0.4528,0.3947
,,,,map_cut_30,0.2868,0.4379,0.4431,0.6084,0.6654,0.4425,0.4549,0.398
,,,,Rprec,0.304,0.469,0.4517,0.593,0.6667,0.4437,0.4532,0.3977
,,,,bpref,0.3044,0.4621,0.4534,0.6116,0.6678,0.4443,0.4522,0.3978
